Pc_name,no,type,state,candidate_name,party,electors,votes,Turnout,margin,margin%,year
Bhiwandi,232,GEN,Maharashtra,S. D. Baswant,Indian National Congress,"5,09,052","3,31,587",65.1 %,"50,874",15.30%,1967
Bholpur,476,GEN,West Bengal,A. K. Chanda,Indian National Congress,"4,83,643","2,59,965",53.8 %,"13,632",5.20%,1967
Bhopal,175,GEN,Madhya Pradesh [1947 - 1999],J.R. Joshi,Bhartiya Jan Sangh,"5,28,531","2,95,340",55.9 %,"43,931",14.90%,1967
Bhubaneswar,304,GEN,Orissa,C. Panigrahi,Indian National Congress,"5,15,093","2,36,328",45.9 %,"20,731",8.80%,1967
Bidar,269,SC,Mysore,R. Veerappa,Indian National Congress,"4,74,941","2,90,022",61.1 %,"60,320",20.80%,1967
Bijapur,295,GEN,Mysore,G. D. Patil,Swatantra,"4,47,774","2,39,633",53.5 %,"2,104",0.90%,1967
Bijnor,357,SC,Uttar Pradesh [1947 - 1999],S. R. Nand,Indian National Congress,"4,85,212","3,23,835",66.7 %,"32,781",10.10%,1967
Bikaner,331,GEN,Rajasthan,K. Singh,Independent,"5,51,193","3,17,472",57.6 %,"1,93,816",61.00%,1967
Bikramganj,93,GEN,Bihar [1947 - 1999],S. Shastry,Samyukta Socialist Party,"5,61,269","3,40,936",60.7 %,"54,916",16.10%,1967
Bilaspur,160,GEN,Madhya Pradesh [1947 - 1999],Amarsingh,Indian National Congress,"4,68,243","2,29,060",48.9 %,"1,541",0.70%,1967
Bilhaur,416,GEN,Uttar Pradesh [1947 - 1999],S. Rohtagi,Indian National Congress,"4,93,276","2,68,572",54.5 %,"16,647",6.20%,1967
Birbhum,477,SC,West Bengal,S. K. Saha,Indian National Congress,"4,66,332","2,42,686",52.0 %,"32,217",13.30%,1967
Bobbili,3,GEN,Andhra Pradesh,K.N. Rao,Indian National Congress,"4,85,448","3,50,963",72.3 %,"75,197",21.40%,1967
Bolangir,311,GEN,Orissa,R. R. S. Deo,Swatantra,"4,65,745","2,18,750",47.0 %,"82,279",37.60%,1967
Bombay Central,229,GEN,Maharashtra,R. D. Bhandare,Indian National Congress,"5,20,524","3,57,839",68.8 %,"6,952",1.90%,1967
Bombay Central South,228,GEN,Maharashtra,S A Dange,Communist Party Of India,"4,83,146","3,42,542",70.9 %,"7,004",2.00%,1967
Bombay North East,231,GEN,Maharashtra,S. G. Barve,Indian National Congress,"6,44,638","4,42,348",68.6 %,"13,169",3.00%,1967
Bombay North West,230,GEN,Maharashtra,S. H. Shah,Indian National Congress,"6,20,183","4,06,042",65.5 %,"1,364",0.30%,1967
Bombay South,227,GEN,Maharashtra,G. Fernandes,Samyukta Socialist Party,"4,64,850","3,13,388",67.4 %,"29,434",9.40%,1967
Broach,129,GEN,Gujarat,M.B. Rana,Indian National Congress,"4,52,985","2,99,159",66.0 %,"37,857",12.70%,1967
Budaun,361,GEN,Uttar Pradesh [1947 - 1999],O. Singh,Bhartiya Jan Sangh,"5,09,445","3,09,212",60.7 %,"55,671",18.00%,1967
Bulandshahr,430,GEN,Uttar Pradesh [1947 - 1999],S.P. Singh,Indian National Congress,"4,98,160","3,13,051",62.8 %,"20,656",6.60%,1967
Buldana,239,GEN,Maharashtra,S. R. Rane,Indian National Congress,"4,82,954","3,50,045",72.5 %,"94,904",27.10%,1967
Bulsar,132,ST,Gujarat,N.N. Patel,Indian National Congress,"4,65,000","2,88,574",62.1 %,"95,706",33.20%,1967
Burdwan,474,GEN,West Bengal,N. C. Chatterjee,Independent,"4,94,561","2,93,266",59.3 %,"36,086",12.30%,1967
Buxar,92,GEN,Bihar [1947 - 1999],R. S. Singh,Indian National Congress,"5,58,072","2,97,389",53.3 %,"34,223",11.50%,1967
Cachar,42,GEN,Assam,J. Chanda,Indian National Congress,"4,62,862","2,08,010",44.9 %,"46,510",22.40%,1967
Calcutta North East,457,GEN,West Bengal,H. Mukherjee,Communist Party Of India,"5,49,928","3,54,874",64.5 %,"14,143",4.00%,1967
Calcutta North West,456,GEN,West Bengal,A. K. Sen,Indian National Congress,"5,91,674","3,47,334",58.7 %,"64,826",18.70%,1967
Calcutta South,458,GEN,West Bengal,G. Ghosh,Communist Party Of India (MARXIST),"5,06,688","3,17,171",62.6 %,"39,287",12.40%,1967
Chail,409,SC,Uttar Pradesh [1947 - 1999],M. Din,Indian National Congress,"4,98,035","2,11,243",42.4 %,"25,934",12.30%,1967
Chamarajanagar,282,SC,Mysore,S. M. Siddaiah,Indian National Congress,"4,54,447","3,11,090",68.5 %,"28,977",9.30%,1967
Chamba,513,GEN,Himachal Pradesh,V. Chand,Indian National Congress,"2,45,876","1,23,209",50.1 %,"4,861",3.90%,1967
Chanda,247,GEN,Maharashtra,K. M. Kaushik,Independent,"4,74,396","2,95,777",62.4 %,"16,836",5.70%,1967
Chandauli,403,GEN,Uttar Pradesh [1947 - 1999],Nihal,Samyukta Socialist Party,"4,81,980","2,80,595",58.2 %,"1,595",0.60%,1967
Chandigarh,498,GEN,Chandigarh,C. Goyal,Bhartiya Jan Sangh,"76,232","49,829",65.4 %,"12,616",25.30%,1967
Chandni Chowk,504,GEN,Delhi,R. Gopal,Bhartiya Jan Sangh,"1,94,661","1,41,466",72.7 %,"17,150",12.10%,1967
Chapra,61,GEN,Bihar [1947 - 1999],R. P. Singh,Indian National Congress,"5,63,139","2,90,282",51.6 %,"28,209",9.70%,1967
Chatra,99,GEN,Bihar [1947 - 1999],V. Raje,Independent,"4,93,028","2,01,737",40.9 %,"21,979",10.90%,1967
Chatrapur,306,GEN,Orissa,J. R. Rachakonda,Indian National Congress,"5,08,555","2,12,036",41.7 %,"41,661",19.60%,1967
Chhindwara,172,GEN,Madhya Pradesh [1947 - 1999],G.R. Mishra,Indian National Congress,"4,92,457","2,07,556",42.2 %,"47,983",23.10%,1967
Chidambaram,195,SC,Madras,V. Mayavan,Dravida Munetra Kazhagam,"5,24,610","4,03,331",76.9 %,"17,429",4.30%,1967
Chikmagalur,287,GEN,Mysore,M. Huchegowda,Praja Socialist Party,"4,07,267","2,60,483",64.0 %,"18,223",7.00%,1967
Chikodi,293,SC,Mysore,B. Sahankaranand,Indian National Congress,"4,62,055","2,94,102",63.7 %,"1,01,542",34.50%,1967
Chimur,246,GEN,Maharashtra,R. M. Hajarnawis,Indian National Congress,"5,06,614","3,35,136",66.2 %,"45,223",13.50%,1967
Chingleput,188,GEN,Madras,C. C. Babu,Dravida Munetra Kazhagam,"5,38,456","4,31,101",80.1 %,"1,05,731",24.50%,1967
Chirayinkil,495,GEN,Kerala,K. Anirudhan,Communist Party Of India (MARXIST),"4,10,807","3,10,052",75.5 %,"29,343",9.50%,1967
Chitorgarh,346,GEN,Rajasthan,O. L. Bohra,Indian National Congress,"5,05,661","2,65,725",52.6 %,"35,101",13.20%,1967
Chitradurga,274,GEN,Mysore,J. M. Imam,Swatantra,"4,99,894","3,41,214",68.3 %,"31,932",9.40%,1967
Chittoor,21,GEN,Andhra Pradesh,N.P.C. Naidu,Indian National Congress,"5,18,637","3,55,499",68.5 %,"27,663",7.80%,1967
Coimbatore,202,GEN,Madras,K. Ramani,Communist Party Of India (MARXIST),"5,61,096","4,27,419",76.2 %,"65,921",15.40%,1967
Contai,466,GEN,West Bengal,G. Samar,Praja Socialist Party,"5,12,594","3,66,246",71.5 %,"17,169",4.70%,1967
Cooch Behar,438,SC,West Bengal,B. K. D. Chowdhury,Forward Bloc,"5,08,364","3,41,555",67.2 %,"43,836",12.80%,1967
Cuddalore,194,GEN,Madras,V. K. Gounder,Dravida Munetra Kazhagam,"5,45,062","4,16,423",76.4 %,"47,973",11.50%,1967
Cuddapah,23,GEN,Andhra Pradesh,Y.E. Reddy,Communist Party Of India,"5,27,110","4,02,943",76.4 %,"37,719",9.40%,1967
Cuttack,302,GEN,Orissa,S. Misra,Praja Socialist Party,"5,47,621","2,76,875",50.6 %,"12,138",4.40%,1967
Dabhoi,128,GEN,Gujarat,M.M. Patel,Indian National Congress,"4,58,775","3,06,310",66.8 %,"27,589",9.00%,1967
Dadra Nagar Haveli,499,ST,Dadra & Nagar Haveli,S. R. Delkar,Indian National Congress,"29,564","23,144",78.3 %,"6,406",27.70%,1967
Dahanu,233,ST,Maharashtra,Y. M. Mukne,Indian National Congress,"4,39,251","2,47,807",56.4 %,"35,940",14.50%,1967
Dahod,123,ST,Gujarat,B.R. Parmar,Indian National Congress,"4,20,684","2,44,947",58.2 %,"8,084",3.30%,1967
Damoh,170,GEN,Madhya Pradesh [1947 - 1999],M.J.B. Patel,Indian National Congress,"4,82,099","2,78,035",57.7 %,"59,621",21.40%,1967
Darbhanga,71,GEN,Bihar [1947 - 1999],S. N. Sinha,Indian National Congress,"5,89,019","3,49,480",59.3 %,"53,073",15.20%,1967
Darjeeling,440,GEN,West Bengal,M. Basu,Independent,"4,42,750","2,58,528",58.4 %,"1,831",0.70%,1967
Dausa,335,GEN,Rajasthan,R. C. Ganpat,Swatantra,"5,50,250","3,11,199",56.6 %,"45,091",14.50%,1967
Dehra Dun,437,GEN,Uttar Pradesh [1947 - 1999],K.Y. Singh,Independent,"4,65,613","3,20,353",68.8 %,"40,112",12.50%,1967
Delhi Sadar,505,GEN,Delhi,K. L. Gupta,Bhartiya Jan Sangh,"2,25,517","1,60,283",71.1 %,"9,705",6.10%,1967
Deoria,393,GEN,Uttar Pradesh [1947 - 1999],B. Rai,Indian National Congress,"5,12,391","2,73,610",53.4 %,"34,979",12.80%,1967
Dhanbad,101,GEN,Bihar [1947 - 1999],L. R. Lakshmi,Jana Kranti Dal,"4,80,690","1,94,970",40.6 %,"20,267",10.40%,1967
Dhandhuka,116,GEN,Gujarat,R.K. Amin,Swatantra,"4,32,903","2,77,016",64.0 %,"30,658",11.10%,1967
Dhar,180,ST,Madhya Pradesh [1947 - 1999],Bharatsingh,Bhartiya Jan Sangh,"4,58,570","2,66,069",58.0 %,"20,510",7.70%,1967
Dharapuram,204,SC,Madras,C. T. Dhandapani,Dravida Munetra Kazhagam,"5,63,703","4,28,401",76.0 %,"1,10,866",25.90%,1967
Dharwar North,291,GEN,Mysore,M. S. Bindurao,Indian National Congress,"4,33,794","2,83,277",65.3 %,"87,430",30.90%,1967
Dharwar South,290,GEN,Mysore,M. F. Hussensab,Indian National Congress,"4,71,334","3,07,737",65.3 %,"64,631",21.00%,1967
Dhenkanal,315,GEN,Orissa,R.K.P.S.D.M. Bahadur,Swatantra,"4,99,572","2,45,220",49.1 %,"88,045",35.90%,1967
Dhubri,45,GEN,Assam,J. Ahmed,Praja Socialist Party,"4,02,189","2,87,387",71.5 %,"66,308",23.10%,1967
Dhulia,237,GEN,Maharashtra,C. A. Patil,Indian National Congress,"5,06,847","3,09,332",61.0 %,"81,383",26.30%,1967
Diamond Harbour,453,GEN,West Bengal,J. Basu,Communist Party Of India (MARXIST),"5,31,464","3,94,853",74.3 %,"70,974",18.00%,1967
Dibrugarh,55,GEN,Assam,J. N. Hazarika,Indian National Congress,"3,99,041","2,19,091",54.9 %,"22,897",10.50%,1967
Dindigul,207,GEN,Madras,N. Anbuchezhian,Dravida Munetra Kazhagam,"5,55,868","4,28,095",77.0 %,"1,03,346",24.10%,1967
Domariaganj,387,GEN,Uttar Pradesh [1947 - 1999],N. S. Sharma,Bhartiya Jan Sangh,"4,95,854","2,94,468",59.4 %,"29,992",10.20%,1967
Dumka,81,ST,Bihar [1947 - 1999],S. C. Besra,Indian National Congress,"4,78,393","1,62,235",33.9 %,"12,040",7.40%,1967
Durg,165,GEN,Madhya Pradesh [1947 - 1999],V.Y. Tamaskar,Indian National Congress,"5,32,152","2,80,983",52.8 %,"34,318",12.20%,1967
East Delhi,503,GEN,Delhi,H. Devgun,Bhartiya Jan Sangh,"2,65,230","1,78,484",67.3 %,"5,616",3.10%,1967
Eluru,11,GEN,Andhra Pradesh,K. Suryanarayan,Indian National Congress,"5,08,275","4,04,043",79.5 %,"1,953",0.50%,1967
Ernakulam,487,GEN,Kerala,V. V. Menon,Communist Party Of India (MARXIST),"4,57,108","3,72,561",81.5 %,"16,606",4.50%,1967
Etah,423,GEN,Uttar Pradesh [1947 - 1999],Rohanlal,Indian National Congress,"4,82,836","2,84,078",58.8 %,"15,383",5.40%,1967
Etawah,418,GEN,Uttar Pradesh [1947 - 1999],A. Singh,Samyukta Socialist Party,"4,82,147","2,75,956",57.2 %,"45,348",16.40%,1967
Faizabad,379,GEN,Uttar Pradesh [1947 - 1999],R. K. Sinha,Indian National Congress,"4,40,689","2,34,080",53.1 %,"16,909",7.20%,1967
Farrukhabad,420,GEN,Uttar Pradesh [1947 - 1999],A.C. Singh,Indian National Congress,"5,17,331","2,93,868",56.8 %,"24,688",8.40%,1967
Fatehpur,410,GEN,Uttar Pradesh [1947 - 1999],S.B. Singh,Indian National Congress,"5,35,616","2,60,884",48.7 %,"25,557",9.80%,1967
Fazilka,317,GEN,Punjab,I. Singh,Indian National Congress,"4,94,461","3,43,288",69.4 %,"26,495",7.70%,1967
Ferozepur,318,GEN,Punjab,S. Singh,Akali Dal - Sant Fateh Singh Group,"4,65,986","3,38,127",72.6 %,"12,640",3.70%,1967
Firozabad,424,SC,Uttar Pradesh [1947 - 1999],S.C. Lal,Samyukta Socialist Party,"5,00,659","2,48,869",49.7 %,"13,281",5.30%,1967
Gandhinagar,118,SC,Gujarat,S.M. Solanki,Indian National Congress,"5,15,980","3,54,758",68.8 %,"29,840",8.40%,1967
Ganganagar,330,SC,Rajasthan,P. Lal,Indian National Congress,"5,43,522","3,33,180",61.3 %,"56,378",16.90%,1967
Garhwal,354,GEN,Uttar Pradesh [1947 - 1999],B. Darshan,Indian National Congress,"4,21,277","1,73,000",41.1 %,"59,923",34.60%,1967
Gauhati,48,GEN,Assam,D. Kalita,Communist Party Of India,"4,12,702","2,75,000",66.6 %,"1,550",0.60%,1967
Gaya,98,SC,Bihar [1947 - 1999],R. Das,Indian National Congress,"4,84,827","2,17,255",44.8 %,"33,988",15.60%,1967
Ghatal,464,GEN,West Bengal,G. Parimal,Indian National Congress,"4,75,725","3,48,573",73.3 %,"28,910",8.30%,1967
Ghatampur,415,SC,Uttar Pradesh [1947 - 1999],T. Ram,Indian National Congress,"5,09,217","2,96,023",58.1 %,"8,538",2.90%,1967
Ghazipur,402,GEN,Uttar Pradesh [1947 - 1999],S. Pandey,Communist Party Of India,"4,98,188","2,77,743",55.8 %,"3,240",1.20%,1967
Ghosi,396,GEN,Uttar Pradesh [1947 - 1999],J. Bahadur,Communist Party Of India,"5,01,984","2,91,645",58.1 %,"4,288",1.50%,1967
Giridih,100,GEN,Bihar [1947 - 1999],A. I. Ahmad,Indian National Congress,"4,88,257","2,12,724",43.6 %,"3,831",1.80%,1967
Gobichettipalayam,205,GEN,Madras,P. A. Saminathan,Dravida Munetra Kazhagam,"5,13,981","3,87,769",75.4 %,"48,945",12.60%,1967
Godda,80,GEN,Bihar [1947 - 1999],P. H. Singhka,Indian National Congress,"5,18,431","2,25,809",43.6 %,"21,862",9.70%,1967
Godhra,124,GEN,Gujarat,P.H. Mody,Swatantra,"4,26,461","2,71,165",63.6 %,"24,449",9.00%,1967
Gonda,385,GEN,Uttar Pradesh [1947 - 1999],S. Kripalani,Indian National Congress,"4,62,900","2,43,676",52.6 %,"11,661",4.80%,1967
Gopalganj,59,GEN,Bihar [1947 - 1999],D. N. Tiwary,Indian National Congress,"5,18,630","2,48,353",47.9 %,"3,016",1.20%,1967
Gorakhpur,390,GEN,Uttar Pradesh [1947 - 1999],D. V. Nath,Independent,"4,34,485","2,66,262",61.3 %,"42,715",16.00%,1967
Gudivada,12,GEN,Andhra Pradesh,M. Ankineedu,Indian National Congress,"5,13,970","4,09,419",79.7 %,"40,198",9.80%,1967
Gulbarga,270,GEN,Mysore,M. Yeshvantappa,Indian National Congress,"4,89,226","2,42,601",49.6 %,"58,277",24.00%,1967
Guna,151,GEN,Madhya Pradesh [1947 - 1999],V.R. Scindhia,Swatantra,"5,26,703","3,05,701",58.0 %,"1,86,189",60.90%,1967
Guntur,16,GEN,Andhra Pradesh,K. Raghuramaiah,Indian National Congress,"5,64,418","4,13,981",73.4 %,"1,17,032",28.30%,1967
Gurdaspur,321,GEN,Punjab,D. Chand,Indian National Congress,"4,92,194","3,51,135",71.3 %,"22,746",6.50%,1967
Gurgaon,138,GEN,Haryana,A. Gani,Independent,"5,27,625","3,69,196",70.0 %,"1,308",0.40%,1967
Gwalior,150,GEN,Madhya Pradesh [1947 - 1999],R. Avtar,Bhartiya Jan Sangh,"5,24,192","3,23,071",61.6 %,"1,48,467",46.00%,1967
Hajipur,64,GEN,Bihar [1947 - 1999],V. Chaudhary,Indian National Congress,"5,69,874","3,46,087",60.7 %,"28,530",8.20%,1967
Hamirpur,412,GEN,Uttar Pradesh [1947 - 1999],S.B. Ji,Bhartiya Jan Sangh,"4,80,478","2,70,899",56.4 %,"59,125",21.80%,1967
Hamirpur,511,GEN,Himachal Pradesh,P. C. Verma,Indian National Congress,"2,79,659","1,49,356",53.4 %,"3,243",2.20%,1967
Hapur,431,GEN,Uttar Pradesh [1947 - 1999],P.V. Shastri,Independent,"5,14,929","3,60,888",70.1 %,"48,068",13.30%,1967
Hardoi,370,SC,Uttar Pradesh [1947 - 1999],K. Lal,Indian National Congress,"5,06,407","2,71,838",53.7 %,"17,555",6.50%,1967
Hassan,286,GEN,Mysore,N. Shivappa,Swatantra,"4,68,830","3,07,979",65.7 %,"42,452",13.80%,1967
Hathras,427,SC,Uttar Pradesh [1947 - 1999],"N, Deo",Indian National Congress,"5,23,727","2,84,992",54.4 %,"7,119",2.50%,1967
Hatkanangale,267,GEN,Maharashtra,M. V. R. C. Bhosale,Peasants & Workers Party,"4,70,375","3,60,450",76.6 %,"44,277",12.30%,1967
Hazaribagh,102,GEN,Bihar [1947 - 1999],B. N. Singh,Independent,"4,98,131","2,00,934",40.3 %,"19,758",9.80%,1967
Hindaun,338,SC,Rajasthan,J. Prasad,Indian National Congress,"5,49,718","3,09,919",56.4 %,"41,097",13.30%,1967
Hindupur,24,GEN,Andhra Pradesh,S. R. Neelam,Indian National Congress,"4,96,405","3,20,531",64.6 %,"42,236",13.20%,1967
Hissar,140,GEN,Haryana,R. Kishan,Indian National Congress,"4,73,354","3,35,463",70.9 %,"7,179",2.10%,1967
Hooghly,462,GEN,West Bengal,B. K. Modak,Communist Party Of India (MARXIST),"5,45,246","3,97,701",72.9 %,"9,570",2.40%,1967
Hoshangabad,174,GEN,Madhya Pradesh [1947 - 1999],C.N.S. Daulatsingh,Indian National Congress,"4,57,587","2,55,016",55.7 %,"22,310",8.70%,1967
Hoshiarpur,322,GEN,Punjab,R. Kishan,Indian National Congress,"4,94,190","3,42,956",69.4 %,"1,511",0.40%,1967
Hoskote,278,GEN,Mysore,M. V. Krishnappa,Indian National Congress,"5,03,040","3,06,019",60.8 %,"61,796",20.20%,1967
Howrah,459,GEN,West Bengal,K. K. Chatterjee,Indian National Congress,"5,72,727","3,88,788",67.9 %,"42,294",10.90%,1967
Hyderabad,30,GEN,Andhra Pradesh,G. S. Melkote,Indian National Congress,"4,58,524","2,64,510",57.7 %,"45,585",17.20%,1967
Indore,179,GEN,Madhya Pradesh [1947 - 1999],P.C. Sethi,Indian National Congress,"4,99,407","3,23,444",64.8 %,"34,118",10.50%,1967
Inner Manipur,516,GEN,Manipur,M. Meghachandra,Communist Party Of India,"2,63,495","2,04,788",77.7 %,"16,983",8.30%,1967
Jabalpur,169,GEN,Madhya Pradesh [1947 - 1999],G. Das,Indian National Congress,"4,87,689","2,86,672",58.8 %,"64,730",22.60%,1967
Jainagar,68,GEN,Bihar [1947 - 1999],B. Jha,Communist Party Of India,"5,52,639","3,13,260",56.7 %,"55,773",17.80%,1967
Jaipur,334,GEN,Rajasthan,G. Devi,Swatantra,"5,38,899","3,15,765",58.6 %,"94,251",29.80%,1967
Jajpur,300,SC,Orissa,B. Behera,Praja Socialist Party,"5,37,526","2,95,054",54.9 %,"64,037",21.70%,1967
Jalaun,414,SC,Uttar Pradesh [1947 - 1999],C.R. Sewak,Indian National Congress,"5,00,897","3,30,503",66.0 %,"24,113",7.30%,1967
Jalgaon,238,GEN,Maharashtra,S. S. Samadali,Indian National Congress,"5,07,204","3,13,623",61.8 %,"66,061",21.10%,1967
Jalna,253,GEN,Maharashtra,V. N. Jadhav,Indian National Congress,"4,88,622","2,43,219",49.8 %,"43,550",17.90%,1967
Jalore,349,GEN,Rajasthan,D. Patodia,Swatantra,"5,36,296","2,51,526",46.9 %,"9,376",3.70%,1967
Jalpaiguri,439,ST,West Bengal,B. N. Katham,Indian National Congress,"4,47,882","2,90,975",65.0 %,"16,888",5.80%,1967
Jammu,147,GEN,Jammu & Kashmir,I.J. Malhotra,Indian National Congress,"4,40,581","2,97,653",67.6 %,"58,168",19.50%,1967
Jamnagar,112,GEN,Gujarat,N. Dandekar,Swatantra,"4,14,134","2,31,351",55.9 %,"13,033",5.60%,1967
Jamshedpur,104,GEN,Bihar [1947 - 1999],S. C. Prasad,Indian National Congress,"4,42,633","2,09,553",47.3 %,"40,702",19.40%,1967
Jamui,85,SC,Bihar [1947 - 1999],N. T. Das,Indian National Congress,"5,76,715","3,29,385",57.1 %,"14,852",4.50%,1967
Jangipur,444,GEN,West Bengal,H. L. Haque,Indian National Congress,"5,19,789","2,98,529",57.4 %,"51,689",17.30%,1967
Janjgir,159,SC,Madhya Pradesh [1947 - 1999],Minimata,Indian National Congress,"5,00,141","2,29,422",45.9 %,"81,240",35.40%,1967
Jaunpur,400,GEN,Uttar Pradesh [1947 - 1999],R. Deo,Indian National Congress,"5,15,153","2,81,624",54.7 %,"83,075",29.50%,1967
Jehanabad,96,GEN,Bihar [1947 - 1999],C. S. Singh,Communist Party Of India,"5,60,459","2,87,539",51.3 %,"51,412",17.90%,1967
Jhabua,183,ST,Madhya Pradesh [1947 - 1999],Sursingh,Indian National Congress,"4,61,943","2,32,551",50.3 %,"28,385",12.20%,1967
Jhajjar,137,GEN,Haryana,S. Singh,Indian National Congress,"5,01,785","3,67,852",73.3 %,"1,42,091",38.60%,1967
Jhalawar,343,GEN,Rajasthan,B. Singh,Bhartiya Jan Sangh,"4,73,659","2,37,173",50.1 %,"81,233",34.30%,1967
Jhansi,413,GEN,Uttar Pradesh [1947 - 1999],S. Nayar,Indian National Congress,"5,00,450","2,72,525",54.5 %,"37,378",13.70%,1967
Jhargram,468,ST,West Bengal,A. K. Kisku.,Bangla Congress,"4,97,007","2,90,845",58.5 %,"45,766",15.70%,1967
Jhunjhunu,332,GEN,Rajasthan,R. K. Birla,Swatantra,"5,49,787","3,68,501",67.0 %,"46,573",12.60%,1967
Jodhpur,351,GEN,Rajasthan,N. K. Sanghi,Indian National Congress,"5,45,070","3,30,871",60.7 %,"20,348",6.10%,1967
Jorhat,53,GEN,Assam,R. Barua,Indian National Congress,"3,85,806","2,09,122",54.2 %,"44,778",21.40%,1967
Joynagar,451,SC,West Bengal,C. Roy,Independent,"5,25,872","3,73,749",71.1 %,"29,071",7.80%,1967
Jullundur,323,GEN,Punjab,S. Singh,Indian National Congress,"4,60,109","3,31,910",72.1 %,"31,480",9.50%,1967
Junagadh,113,GEN,Gujarat,V.J. Shah,Swatantra,"4,03,474","2,33,907",58.0 %,"10,886",4.70%,1967
Kaira,125,GEN,Gujarat,P.N. Solanki,Swatantra,"4,43,349","3,25,534",73.4 %,"27,740",8.50%,1967
Kairana,435,GEN,Uttar Pradesh [1947 - 1999],G.A. Khan,Samyukta Socialist Party,"5,13,381","3,13,720",61.1 %,"1,665",0.50%,1967
Kaisarganj,382,GEN,Uttar Pradesh [1947 - 1999],S. Nayar,Bhartiya Jan Sangh,"4,92,785","2,37,166",48.1 %,"70,416",29.70%,1967
Kaithal,135,GEN,Haryana,G.L. Nanda,Indian National Congress,"4,84,420","3,72,708",76.9 %,"27,010",7.20%,1967
Kakinada,7,GEN,Andhra Pradesh,T.R. Mosaliganti,Indian National Congress,"5,32,127","3,93,678",74.0 %,"30,000",7.60%,1967
Kalahandi,309,GEN,Orissa,P. K. Deo,Swatantra,"4,15,610","1,74,994",42.1 %,"58,679",33.50%,1967
Kaliabor,52,GEN,Assam,B. Barua,Indian National Congress,"3,94,501","2,27,659",57.7 %,"47,889",21.00%,1967
Kallakurichi,196,GEN,Madras,M. Deiveekan,Dravida Munetra Kazhagam,"4,98,804","3,77,238",75.6 %,"26,523",7.00%,1967
Kanakapura,280,GEN,Mysore,M. V. Rajasekharan,Indian National Congress,"4,44,344","2,81,621",63.4 %,"48,196",17.10%,1967
Kanara,289,GEN,Mysore,D. D. Dattatraya,Independent,"4,63,555","2,97,779",64.2 %,"27,797",9.30%,1967
Kangra,512,GEN,Himachal Pradesh,H. Raj,Indian National Congress,"2,61,580","1,41,834",54.2 %,"5,402",3.80%,1967
Kanker,163,ST,Madhya Pradesh [1947 - 1999],T.L.P. Shah,Bhartiya Jan Sangh,"4,73,390","2,57,823",54.5 %,"3,523",1.40%,1967
Kannauj,419,GEN,Uttar Pradesh [1947 - 1999],R.M. Lohia,Samyukta Socialist Party,"5,37,550","2,94,581",54.8 %,472,0.20%,1967
Kanpur,417,GEN,Uttar Pradesh [1947 - 1999],S.M. Banerji,Independent,"4,64,670","2,51,114",54.0 %,"6,517",2.60%,1967
Karad,265,GEN,Maharashtra,D. R. Chavan,Indian National Congress,"4,63,878","3,31,331",71.4 %,"1,71,422",51.70%,1967
Karimganj,43,SC,Assam,N. R. Laskar,Indian National Congress,"4,72,190","3,03,128",64.2 %,"76,923",25.40%,1967
Karimnagar,37,GEN,Andhra Pradesh,J. R. Rao,Indian National Congress,"5,13,265","2,87,041",55.9 %,"2,176",0.80%,1967
Karnal,134,GEN,Haryana,M. Ram,Indian National Congress,"4,63,594","3,50,081",75.5 %,203,0.10%,1967
Karol Bagh,506,SC,Delhi,R. S. Vidhyarthi,Bhartiya Jan Sangh,"2,33,745","1,60,433",68.6 %,"4,494",2.80%,1967
Karur,209,GEN,Madras,M. Gounder,Swatantra,"5,54,715","4,08,382",73.6 %,"23,718",5.80%,1967
Kasargod,478,GEN,Kerala,A. K. Gopalan,Communist Party Of India (MARXIST),"4,67,371","3,51,097",75.1 %,"1,18,510",33.80%,1967
Kasganj,422,GEN,Uttar Pradesh [1947 - 1999],M.A. Khan,Indian National Congress,"5,22,973","3,06,527",58.6 %,"6,099",2.00%,1967
Katihar,78,GEN,Bihar [1947 - 1999],S. Keshari,Indian National Congress,"4,98,435","2,74,547",55.1 %,973,0.40%,1967
Katwa,475,GEN,West Bengal,D. Sen,Indian National Congress,"4,85,894","3,34,989",68.9 %,"10,955",3.30%,1967
Kavali,18,GEN,Andhra Pradesh,R.D. Reddy,Indian National Congress,"5,67,859","4,02,038",70.8 %,"48,154",12.00%,1967
Kendrapara,301,GEN,Orissa,S. Dwivedy,Praja Socialist Party,"5,61,875","3,44,263",61.3 %,"1,11,397",32.40%,1967
Keonjhar,314,ST,Orissa,G. Naik,Swatantra,"4,26,034","1,26,766",29.8 %,"40,824",32.20%,1967
Kessaria,63,GEN,Bihar [1947 - 1999],K. M. Madhukar,Communist Party Of India,"5,23,959","2,46,560",47.1 %,"3,661",1.50%,1967
Khagaria,86,GEN,Bihar [1947 - 1999],K. Singh,Samyukta Socialist Party,"5,66,989","3,58,219",63.2 %,"96,245",26.90%,1967
Khalilabad,388,GEN,Uttar Pradesh [1947 - 1999],R. Singh,Bhartiya Jan Sangh,"5,06,466","2,91,241",57.5 %,"21,645",7.40%,1967
Khamgaon,240,SC,Maharashtra,A. S. Kasture,Indian National Congress,"4,96,280","3,50,435",70.6 %,"76,295",21.80%,1967
